,author,books
3112,Fred Turner,[5592]
3113,Fred Wan,[25810]
3114,Freda Titford,[37837]
3115,Freddy Michalski,[22297]
3116,Frederica Matthewes,[43979]
3117,Frederick A. Blossom,[44613]
3118,Frederick Burkhardt,[28836]
3119,Frederick C. Beiser,"[26853, 31876]"
3120,Frederick Charles Copleston,"[31823, 31866, 31906, 31942]"
3121,Frederick Deluvier,[5534]
3122,Frederick Douglass,"[36528, 36529, 36530, 36532, 36533, 36535, 36536]"
3123,Frederick Exley,[41518]
3124,Frederick H. Fornoff,[18959]
3125,Frederick K. Goodwin,[36438]
3126,Frederick P. Brooks Jr.,[13629]
3127,Frederick P. Lenz,"[9337, 9338]"
3128,Frederick Paul Walter,[33508]
3129,Frederick R. Karl,[28434]
3130,Frederick Seitz,[17362]
3131,Frederik Pohl,"[6437, 40281, 40888, 41117, 47197]"
3132,Frediano Sessi,[28222]
3133,Fredric Brown,[34523]
3134,Fredric Dannen,[38019]
3135,Fredson Bowers,"[3841, 8148]"
3136,Freeman Dyson,[10260]
3137,Freeman Wong,"[13549, 13550, 13551]"
3138,Frieda Hughes,[11625]
3139,Friedrich A. Hayek,[6290]
3140,Friedrich Dürrenmatt,[35090]
3141,Friedrich Engels,"[30474, 30476, 30477, 30480, 30482, 30485, 30488, 30491, 43098]"
3142,Friedrich Hölderlin,[41173]
3143,Friedrich Mueller,"[19400, 19401]"
3144,Friedrich Nietzsche,"[2820, 2821, 2822, 2823, 12315, 12317, 12319, 12321, 12322, 18273, 18304, 18305, 18310, 24257, 31607, 31763, 31782, 31785, 43150]"
3145,Friedrich Reck,[30590]
3146,Friedrich Solmsen,[27423]
3147,Friends in Recovery,[29027]
3148,Fritha Goodey,[44231]
3149,Fritjof Capra,[10238]
3150,Fritz Eichenberg,[29124]
3151,Fritz Leiber,"[14500, 23797, 29161, 36320]"
3152,Fritz Springmeier,[4238]
3153,Fritz Stern,[46736]
3154,Fulton J. Sheen,[3529]
3155,Fuyumi Ono,[13737]
3156,Fyodor Dostoyevsky,"[4933, 4934, 4935, 4936, 4937, 4938, 4940, 5687, 5691, 5698, 5700, 7118, 7119, 7135, 7136, 7138, 7141, 7144, 7150, 12505, 12851, 12852, 12853, 12854, 12855, 12856, 17876, 17877, 17878, 17879, 17880, 17881, 17883, 17885, 17890, 17891, 17893, 18809, 18814, 18822, 18824, 28340, 28343, 28344, 28348, 37058, 44446, 46303]"
3157,Félix Guattari,[22913]
3158,G. Aroul,[11705]
3159,G. Blakemore Evans,"[1414, 33194]"
3160,G. Edward White,[36489]
3161,G. Richard Shell,"[23801, 23802]"
3162,G. Thomas Tanselle,"[3733, 3734, 3738, 41760]"
3163,G. Tubach,[23297]
3164,G.E.M. Anscombe,"[12073, 12076, 12077]"
3165,G.K. Chesterton,[25708]
3166,G.M.A. Grube,"[9462, 22632, 30292]"
3167,G.P. Goold,"[1402, 1725, 12919]"
3168,G.R. Thompson,[32558]
3169,G.S. Conway,[13342]
3170,G.W. Bowersock,[26384]
3171,Gabi Payn,[14176]
3172,Gabriel Brownstein,[269]
3173,Gabriel García Márquez,"[320, 324, 325, 759, 762, 763, 764, 765, 766, 4389, 4390, 4392, 4393, 4394, 4624, 5199, 5215, 5217, 5218, 7598, 7599, 7600, 7602, 9712, 9713, 14239, 14240, 16251, 22175, 22176, 23875, 23876, 23877, 23878, 23880, 23881, 23882, 23884, 23886, 23887, 23888, 23894, 23895, 23900, 23903, 28083, 28086, 28088, 31722, 31740, 31742, 41513, 41517]"
3174,Gabriel Josipovici,[22912]
3175,Gabriel Marruzzo,[19163]
3176,Gabriel Rodríguez,[34871]
3177,Gabrielle Ann Euvino,[24028]
3178,Gabrielle Rolin,[18321]
3179,Gabrielle Weiss,[28466]
3180,Gabrielle de Cuir,[7972]
3181,Gadi Bloom,[31386]
3182,Gail A. Eisnitz,[31474]
3183,Gail Carson Levine,"[24336, 24337, 24338]"
3184,Gail Godwin,[33032]
3185,Gail Grant,[9140]
3186,Gail Kern Paster,[12957]
3187,Gail Omvedt,[168]
3188,Gail Owens,[14658]
3189,Gaius Julius Caesar,"[37807, 37808]"
3190,Galadriel Waters,[15877]
3191,Gale Gand,[39141]
3192,Galileo Galilei,[32610]
3193,Galina Krasskova,[24660]
3194,Galway Kinnell,[39690]
3195,Ganganatha Jha,[31853]
3196,Gao Xingjian,"[45961, 45966]"
3197,Gardner Dozois,"[20381, 41089]"
3198,Gareth Stedman Jones,"[30474, 30491]"
3199,Garrett Sutton,[42772]
3200,Garrick Hagon,[21739]
3201,Garrison Keillor,"[39685, 39690, 39692, 45472]"
3202,Garry Nelson,[43949]
3203,Garry Walton,[24191]
3204,Garry Wills,"[394, 1702, 9515, 20807, 20809, 20810, 29435]"
3205,Garth Ennis,"[22416, 26673, 46774]"
3206,Garth Nix,"[13345, 17206, 37365, 40160, 47613, 47615, 47617, 47618, 47619, 47621, 47622, 47624, 47626, 47627, 47629, 47630, 47631, 47642, 47643, 47644, 47645, 47648, 47666]"
3207,Garth Williams,"[7885, 8252, 8253, 8282, 8296, 8298, 8337, 10826, 10832, 17580, 24178, 24179, 24180, 24384, 29868, 33528, 37726, 44254]"
3208,Gary    Myers,[36507]
3209,Gary A. Braunbeck,"[14002, 19140, 19144, 28468, 28530]"
3210,Gary B. Nash,[17593]
3211,Gary Blythe,"[3797, 17236]"
3212,Gary Carey,"[2167, 4942, 20444]"
3213,Gary Chalk,[7983]
3214,Gary Chapman,[955]
3215,Gary Colombo,[700]
3216,Gary Dumm,"[16141, 43559]"
3217,Gary E. Schwartz,[44941]
3218,Gary Erskine,"[22356, 31641]"
3219,Gary Friedrich,[35248]
3220,Gary Gianni,[21063]
3221,Gary Handwerk,[12317]
3222,Gary Hoppenstand,[29516]
3223,Gary K. Carey,"[18837, 42429]"
3224,Gary L. Blackwood,[42057]
3225,Gary L. Hardcastle,[31836]
3226,Gary Oates,[17328]
3227,Gary Paulsen,"[50, 53, 2912, 2917, 2920, 2923, 2928, 37674]"
3228,Gary R. VandenBos,[47435]
3229,Gary Richard Thompson,"[32558, 36311]"
3230,Gary Russell,"[15244, 15250, 15300, 20254, 20258]"
3231,Gary Smalley,"[11430, 11432, 11433, 11436, 35332]"
3232,Gary Smith,[31960]
3233,Gary Snyder,[40795]
3234,Gary Taylor,[1421]
3235,Gary W. Eldred,[25299]
3236,Gary W. Potter,[34014]
3237,Gary Yukl,[1255]
3238,Gaston Bachelard,[13269]
3239,Gaston Leroux,[14542]
3240,Gavin Baddeley,"[37063, 37848]"
3241,Gavin Menzies,[4813]
3242,Gavin de Beer,[13049]
3243,Gay Gallsworthy,[27450]
3244,Gay Talese,[31253]
3245,Gayden Metcalfe,[30066]
3246,Gayle Lynds,"[31270, 33672]"
3247,Gelsey Kirkland,[39034]
3248,Gemma Gallart,[45607]
3249,Gemma O'Connor,[10895]
3250,Gemma Rovira,[15766]
3251,Gemma Rovira Ortega,[15872]
3252,Gena Showalter,[30199]
3253,Gene  Stone,[17352]
3254,Gene A. Brucker,[39101]
3255,Gene Bostwick,[16483]
3256,Gene Colan,[3986]
3257,Gene DeWeese,[20935]
3258,Gene Kerrigan,"[22736, 42741]"
3259,Gene Thompson,[2584]
3260,Gene Wilder,[10126]
3261,Gene Wolfe,"[23797, 40880, 40992, 40995, 40996, 40997, 41089, 47580]"
3262,Gene Zion,[10071]
3263,Geneen Roth,"[4951, 39173, 39175]"
3264,Genevieve Gorman,[20934]
3265,Geneviève,"[10767, 10770]"
3266,Geoff Dyer,[32071]
3267,Geoff Emerick,[35543]
3268,Geoff Johns,[16991]
3269,Geoff Klock,[22265]
3270,Geoff Spear,"[23524, 26156]"
3271,Geoff Waring,[27356]
3272,Geoffrey Brock,"[10503, 17694]"
3273,Geoffrey Chaucer,"[2696, 2698, 2701, 2702, 2706, 2710, 2711, 2713, 32814, 32816]"
3274,Geoffrey Howard,[30639]
3275,Geoffrey Miller,[27486]
3276,Geoffrey S. Kirk,[13422]
3277,Geoffrey Sainsbury,[15672]
3278,Geoffrey Wall,"[2182, 2183, 19075]"
3279,Georg Bühler,[31853]
3280,Georg Deggerich,[28075]
3281,Georg Feuerstein,[15124]
3282,Georg Wilhelm Friedrich Hegel,"[9454, 9456, 18283, 25241, 25242, 25244, 25245, 25248, 26407, 26410, 29091, 29092, 29093, 31876]"
3283,George      Young,[41675]
3284,George  Wilson,[34954]
3285,George A. Reisch,[31836]
3286,George Adamson,[7388]
3287,George Alec Effinger,"[35148, 40281]"
3288,George Balanchine,[9156]
3289,George Beahm,"[10594, 10606, 43828]"
3290,George Bernard Shaw,"[7700, 7703, 7707, 7708, 7714, 7716, 12230, 12233, 12274, 12275, 38762, 46335]"
3291,George Breitman,[31067]
3292,George Clayton Johnson,[33543]
3293,George Condo,[3768]
3294,George Crile,"[29358, 29359, 29360, 29362]"
3295,George Cruikshank,"[18260, 22914]"
3296,George D. Schade,[38788]
3297,George E. Stanley,"[3520, 34319, 34320, 34325]"
3298,George Economou,[13347]
3299,George Egerton,[32585]
3300,George Eliot,"[304, 19089, 19090, 19093, 19096, 19099, 20564, 20566, 20567, 27454, 27456, 31472, 37205, 37698, 45066]"
3301,George F. Jewsbury,[828]
3302,George Ford,[14403]
3303,George Gamow,"[17263, 17265]"
3304,George Gesner,[29979]
3305,George Gibian,[7150]
3306,George Gladir,[10732]
3307,George Grant,"[21766, 24636]"
3308,George Guidall,"[4412, 11271, 17080, 24977, 32788]"
3309,George H. Scherr,[18449]
3310,George H. Wood,[30913]
3311,George Henrik von Wright,[12077]
3312,George Henry Jennings,[22166]
3313,George Herbert Palmer,[37804]
3314,George J. Becker,[26417]
3315,George Lakoff,"[13455, 19134, 31856, 34459]"
3316,George Lucas,"[4752, 4767, 31833, 34941, 34963, 35434, 35458]"
3317,George M. Logan,"[47163, 47168, 47174]"
3318,George M. Towle,[32843]
3319,George MacDonald,"[3531, 23596]"
3320,George MacDonald Fraser,[25319]
3321,George Orwell,"[5471, 5472, 5475, 5477, 5478, 7613, 9639, 9640, 9641, 9644, 9646, 9648, 9652, 19100, 30553, 30555, 30557, 43394]"
3322,George Ovitt Jr.,[33581]
3323,George Pelecanos,[1620]
3324,George Plimpton,"[14606, 20351, 31253]"
3325,George Pratt,"[25101, 25102]"
3326,George Pérez,[24345]
3327,George R. Stewart,[43594]
3328,George R.R. Martin,"[10572, 10582, 11532, 13413, 13496, 13497, 13500, 13501, 13504, 13505, 20381, 32686, 37900, 40281, 43895]"
3329,George Rawlinson,[1368]
3330,George Reavy,[19117]
3331,George Ritzer,[37328]
3332,George S. Clason,"[1052, 1053]"
3333,George Saintsbury,"[1891, 25932]"
3334,George Saunders,"[2960, 14295, 28747, 28748, 28749, 29705]"
3335,George Seferis,[13275]
3336,George Selden,[24384]
3337,George Smoot,[180]
3338,George Stade,[27456]
3339,George Stalk Jr.,[18172]
3340,George Steiner,[11231]
3341,George Sullivan,[37869]
3342,George Thibaut,[31853]
3343,George Thomson,[1530]
3344,George Ulrich,[41649]
3345,George Washington,[6466]
3346,George Weigel,[30938]
3347,George Zebrowski,"[41092, 41093]"
3348,Georges Bataille,"[37064, 37530]"
3349,Georges Monny,[16100]
3350,Georges Perec,"[28293, 28294, 28295, 28296, 28297, 28336]"
3351,Georges Simenon,"[15672, 44145, 44146, 44147, 44148, 44149, 44151, 44152, 44153, 44157, 44158, 44160, 44164]"
3352,Georgette Heyer,"[32102, 32103, 32104, 32105, 32106, 32107, 32108, 32111, 32313]"
3353,Georgia Ann Machemer,[1499]
3354,Georgie Ripper,"[31481, 31482, 31483, 31484, 31486]"
3355,Georgina Grey,[37902]
3356,Gerald A. Michaelson,[10536]
3357,Gerald Bevan,[16619]
3358,Gerald Brom,[34917]
3359,Gerald Eugene Myers,"[28821, 28836]"
3360,Gerald J. Erion,[31882]
3361,Gerald Jay Sussman,[43713]
3362,Gerald McCann,[2932]
3363,Gerald Posner,[38107]
3364,Gerald Ravenscourt Hayes,[13625]
3365,Gerald Weales,"[12896, 38762]"
3366,Geraldine Brooks,"[4965, 13529, 13530, 13533]"
3367,Geraldine McCaughrean,"[2404, 2409, 34264]"
3368,Geraldine Pinch,[37539]
3369,Gerard Auzet,[40187]
3370,Gerard Stembridge,"[22736, 42741]"
3371,Gerrold van der Stroom,[5511]
3372,Gerry Alanguilan,[8172]
3373,Gerry Bothmer,[19307]
3374,Gerry Conway,[16987]
3375,Gerry Shamray,[43559]
3376,Gert Rottenecker,[35177]
3377,Gertrud Jaron Lewis,[9974]
3378,Gertrude Bell,[46289]
3379,Gertrude Chandler Warner,"[9479, 17507, 17511]"
3380,Gertrude Stein,[14951]
3381,Gertrude the Great,[9974]
3382,Gheorghe Stratan,[2094]
3383,Gia Bathory Al Babel,[16021]
3384,Giada De Laurentiis,"[1191, 1192, 1193]"
3385,Gilbert Achcar,[12623]
3386,Gilbert Adair,"[3101, 28294, 28369]"
3387,Gilbert Murray,[3254]
3388,Gilbert Picard,[2833]
3389,Gilbert Sale,[14679]
3390,Gilberte Lambrichs,[39059]
3391,Giles,[32810]
3392,Giles Andreae,[10340]
3393,Giles Foden,[8761]
3394,Giles Milton,[29386]
3395,Gill Harvey,[7739]
3396,Gill Tomblin,[9148]
3397,Gillen D'Arcy Wood,"[1957, 1959, 17170]"
3398,Gilles Deleuze,"[22913, 28404, 31784]"
3399,Gilles Vaugeois,[25379]
3400,Gillian Avery,"[5653, 5656, 5659, 5660, 45182]"
3401,Gillian Beer,[31693]
3402,Gillian C. Gill,[22689]
3403,Gillian McCain,[14595]
3404,Gina Moxley,"[22736, 42741]"
3405,Gina Smith,[5558]
3406,Gionarle del Popolo,[38338]
3407,Giorgio De Santillana,[1439]
3408,Giorgio Manganelli,[46452]
3409,Giorgio Petrocchi,[45670]
3410,Giovanna Borradori,[31849]
3411,Giovanni Bandini,"[33248, 45320]"
3412,Giovanni Battista Piranesi,"[19400, 19401]"
3413,Giovanni Pietro Pinamont,[7590]
3414,Giovanni Pontiero,"[2526, 2527, 2530, 2535, 2536, 2542, 28859, 29566, 29567]"
3415,Girolamo Cardano,[25012]
3416,Girolamo De Michele,[10505]
3417,Gisela Stege,"[1059, 22045]"
3418,Gish Jen,[1985]
3419,Giuliana DePandi,[13485]
3420,Giuliano Hazan,[21199]
3421,Glaser Linda,[43130]
3422,Glen C. Strathy,"[476, 22123]"
3423,Glen Cook,[22938]
3424,Glen David Gold,"[3986, 4599]"
3425,Glen Merzer,"[33973, 35722]"
3426,Glending Olson,[32816]
3427,Glenn Chadbourne,"[10597, 11565]"
3428,Glenn Fabry,[14498]
3429,Glenn Harrington,[26194]
3430,Glenn M. Schwartz,[42489]
3431,Glenn McCoy,"[45438, 45440]"
3432,Glenn O'Brien,[28639]
3433,Glenn R. Morrow,[9462]
3434,Glenn Stout,"[25965, 31960]"
3435,Glenn W. Most,[2473]
3436,Glenn Wolff,[41217]
3437,Glenn Yeffeth,[38717]
3438,Gloria Bird,[484]
3439,Gloria E. Anzaldúa,"[45884, 45887]"
3440,Gloria Goldreich,"[159, 20327]"
3441,Gloria Naylor,"[33363, 38074]"
3442,Glyn Daly,[18926]
3443,Glyn Davies,[45420]
3444,Glynne Walley,"[25794, 26759, 38379]"
3445,Gonzague Saint Bris,[32833]
3446,Good Housekeeping,[37630]
3447,Goran Parlov,[40452]
3448,Gordon A. Craig,[23756]
3449,Gordon Botherston,[16569]
3450,Gordon Bowker,[35991]
3451,Gordon Dahlquist,[44930]
3452,Gordon Hendricks,[22562]
3453,Gordon Hutner,[41506]
3454,Gordon Korman,"[3117, 3119, 3120, 18564, 22237, 22238, 24037, 24040, 24047, 24048, 24050, 24052, 24054, 24056, 24058, 24060, 24062, 24064, 24065, 24066, 24073, 37909, 37911, 37912]"
3455,Gordon McMullan,[32410]
3456,Gordon S. Wood,"[3113, 5585, 6956]"
3457,Gordon Teskey,[16005]
3458,Gordon W. Allport,"[4070, 26147]"
3459,Gore Vidal,"[8713, 8715, 8716, 8719, 8722, 12268, 20552, 44224, 44225]"
3460,Gorgias of Leontini,[13425]
3461,Gotthold Ephraim Lessing,[14712]
3462,Govind Armstrong,[38585]
3463,Grace Frick,[12172]
3464,Grace Metalious,[37372]
3465,Grace Paley,[39690]
3466,Graeme Base,"[11903, 13238]"
3467,Graham   Watson,[2267]
3468,Graham Brack,[4263]
3469,Graham Chapman,"[24561, 24565, 24566, 24568]"
3470,Graham Greene,"[3688, 3689, 3690, 3692, 3693, 3695, 3698, 3701, 3705, 3707, 29633, 29639, 29641, 40439]"
3471,Graham Hancock,[33025]
3472,Graham Handley,[12712]
3473,Graham Masterton,"[16918, 16919, 16921, 17658]"
3474,Graham McNeill,[31638]
3475,Graham Rust,[38633]
3476,Graham Swift,[33464]
3477,Graham Tulloch,[6440]
3478,Graham Turner,[16968]
3479,Grahame Leman,[6437]
3480,Grant Blackwood,[33672]
3481,Grant Morrison,"[22345, 22347, 22348, 22350, 22351, 22354, 22355, 22356, 22357, 22360, 22362, 22363, 22364, 22365, 22366, 22373, 22374, 22375, 22380, 22381, 22390, 22392, 22394, 22398, 22401, 22406, 22409]"
3482,Grant R. Osborne,[29685]
3483,Grantland Rice,[15740]
3484,Gray Jolliffe,"[8044, 8048, 8051, 8053, 34496]"
3485,Green,[43979]
3486,Greer Garson,[15907]
3487,Greg  Taylor,[4221]
3488,Greg Bear,"[2493, 28502, 29161, 46656, 47197]"
3489,Greg Behrendt,"[10412, 33353]"
3490,Greg Bloom,[40634]
3491,Greg Call,"[9531, 34262]"
3492,Greg Child,[43594]
3493,Greg Costikyan,[35148]
3494,Greg Cox,"[33024, 33030]"
3495,Greg Donahue,[35479]
3496,Greg Henrikson,[33491]
3497,Greg Iles,"[34844, 43992, 43993, 43994, 43995, 43996]"
3498,Greg Keyes,"[28808, 35429]"
3499,Greg Lawrence,[39034]
3500,Greg Martin,[37569]
3501,Greg Ruggiero,"[38338, 38341]"
3502,Greg Simpson,[7286]
3503,Greg Stafford,[36877]
3504,Greg Tang,[21342]
3505,Gregary Racz,[42213]
3506,Gregg Budgett,[43559]
3507,Gregg Hurwitz,[33672]
3508,Gregg Olsen,[26784]
3509,Gregorio Viastelica,[10627]
3510,Gregorio Vlastelica,"[11608, 12676, 32696]"
3511,Gregory A. Boyd,[27597]
3512,Gregory Bassham,"[25811, 31882]"
3513,Gregory Benford,[47197]
3514,Gregory Claeys,[29964]
3515,Gregory H. Hemingway,[4625]
3516,Gregory Maguire,"[10750, 10751, 13521, 15858, 18943, 24929, 24933, 27236, 37349, 37350, 37356, 37360, 37363, 37365, 37442]"
3517,Gregory Manchess,[33484]
3518,Gregory Rabassa,"[320, 759, 4394, 5215, 5217, 7599, 7602, 14239, 14240, 23878, 23887, 28086, 28088]"
3519,Gregory Stephens,[36532]
3520,Gregory Stevenson,[33753]
3521,Gretchen Moran Laskas,[15600]
3522,Gretchen Schields,[35958]
3523,Gretchen Stull,[15867]
3524,Grete Skevik,[33702]
3525,Grif Stockley,[20164]
3526,Gris Grimly,[30029]
3527,Grodsky,[36853]
3528,Grove,[2584]
3529,Grover Gardner,"[4688, 17179, 28845]"
3530,Guenevera Tunberg,[7796]
3531,Guido Waldman,[38154]
3532,Guillermo Solana,[44254]
3533,Guillermo Suazo Pascual,[28344]
3534,Gunnar Staalesen,[33385]
3535,Gunnvor Stallybrass,[32589]
3536,Gunther Stuhlmann,"[11037, 11044, 18348, 18355, 18361, 18362, 18365, 46043, 46052, 46067]"
3537,Gus Russo,[12370]
3538,Gus Van Sant,[7577]
3539,Gustave Doré,[16014]
3540,Gustave Flaubert,"[2175, 2178, 2179, 2180, 2182, 2183, 19075, 19078, 19079, 19080, 19081, 40763]"
3541,Gustave Le Bon,[35792]
3542,Guttmann,[42706]
3543,Guy Abadia,"[3964, 3967, 3968, 11518, 45281]"
3544,Guy Cardwell,"[2953, 2956, 24583]"
3545,Guy Davenport,[3841]
3546,Guy Francis,"[34319, 34320, 34325]"
3547,Guy Kawasaki,[37875]
3548,Guy Ogilvy,[44900]
3549,Guy Parker,[10340]
3550,Guy W. Jones,[40836]
3551,Gwen Ellery,[22265]
3552,Gwen Moran,[40536]
3553,Gwyn Hyman Rubio,"[3476, 33079]"
3554,Gwynne Forster,[37305]
3555,Gérard Coisne,[19586]
3556,Güneli Gün,[11694]
3557,Günter Grass,"[15211, 35738, 35743]"
3558,H. Anna Suh,[24096]
3559,H. Eugene LeMay Jr.,[17412]
3560,H. Eugene Stanley,[38399]
3561,H. Havelock Ellis,[27803]
3562,H. Jay Riker,"[18144, 18146]"
3563,H. Lee Shapiro,[29947]
3564,H. Mack Horton,[7050]
3565,H. Patricia Wakefield,[36677]
3566,H. Resit Akcakaya,[7277]
3567,H. Rider Haggard,"[23596, 23814]"
3568,H.D.F. Kitto,[1549]
3569,H.G. Bissinger,[815]
3570,H.G. Wells,"[2493, 2494, 2495, 2501, 2504, 2506, 2508, 8909, 8916, 8917, 8919, 17184, 17185, 17189, 29964, 29965, 29966, 29967, 29971, 29976, 29979, 29981]"
3571,H.L. Mencken,[18304]
3572,H.M. Nahmad,[2549]
3573,H.M. Parshley,"[8499, 8500]"
3574,H.P. Lovecraft,"[23796, 32767, 32768, 32769, 32774, 32776, 33490, 33501, 36313, 36314, 36315, 36316, 36317, 36320, 36321]"
3575,H.R. Giger,[17122]
3576,H.R. Millar,[45183]
3577,H.T. Lowe,[34444]
3578,H.T. Willetts,[17125]
3579,H.W. Brands,[41654]
3580,Ha Jin,"[12807, 12810, 14729, 14730, 14731, 33561, 33563, 33564, 33565, 33566, 33567]"
3581,Hablot Knight Browne,"[1984, 1990, 5337, 11026, 31242]"
3582,Hafez,"[46289, 46292]"
3583,Hailey Abbott,[38892]
3584,Hajime Yatate,[30767]
3585,Hal Bodner,[39216]
3586,Halldór Kiljan Laxness,"[14263, 14264, 14265, 14266, 14267, 14268]"
3587,Hana Wirth,[46950]
3588,Hania Czajkowski,[45500]
3589,Hanif Kureishi,"[11891, 23045, 23046, 23053]"
3590,Hank Wagner,[10612]
3591,Hannah  Green,"[45220, 45223]"
3592,Hannah Arendt,"[2725, 22474, 26190]"
3593,Hannah Hurnard,[23545]
3594,Hannelore Placzek,[24895]
3595,Hanoch Gutfreund,[17297]
3596,Hanon W. Russell,[13677]
3597,Hans,"[19400, 19401, 44521]"
3598,Hans Blumenberg,[4216]
3599,Hans Christian Andersen,"[46306, 46308, 46310, 46313, 46314]"
3600,Hans Hermann,"[11771, 16707]"
3601,Hans J. Schütz,[28699]
3602,Hans Jenssen,"[35404, 35459]"
3603,Hans Jonas,[8214]
3604,Hans Magnus Enzensberger,"[30851, 31007]"
3605,Hans Richter,[46306]
3606,Hans Schumacher,[41662]
3607,Hans Walter Gabler,"[7590, 23290]"
3608,Hanshan,[10921]
3609,Harald Wiberg,[19318]
3610,Hari Kunzru,[29705]
3611,Harlan Coben,"[43924, 43925, 43926, 43927, 43928, 43929, 43930, 43931, 43932, 43933]"
3612,Harlan Ellison,"[21624, 25101, 40281, 40880, 41119, 41805]"
3613,Harlow Giles Unger,[7375]
3614,Harold Abelson,[43713]
3615,Harold Beaver,[3736]
3616,Harold Bloom,"[1420, 3835, 4983, 5269, 12083, 20941, 20942, 20944, 22528, 23336, 23491, 24374, 25444, 28715, 28721, 33185, 40694, 42765]"
3617,Harold C. Livesay,[41504]
3618,Harold Clurman,[38755]
3619,Harold Courlander,[10370]
3620,Harold Coyle,[34570]
3621,Harold F. Brooks,[33155]
3622,Harold G. Moore,"[42512, 42513, 42514]"
3623,Harold Hobson,[38762]
3624,Harold Jenkins,[42054]
3625,Harold Mattingly,[25689]
3626,Harold North Fowler,[1330]
3627,Harold Pinter,[12133]
3628,Harold S. Kushner,"[4069, 26146]"
3629,Harold Tarrant,[30300]
3630,Harold William Kuhn,[25463]
3631,Harper Lee,"[2654, 2655, 2660, 2661, 24374, 37449]"
3632,Harpo Marx,[35270]
3633,Harriet Ann Jacobs,[36536]
3634,Harriet Beecher Stowe,"[46789, 46791, 46792, 46793]"
3635,Harriet Lerner,"[31312, 31316]"
3636,Harriet Walter,[19093]
3637,Harris Rackham,[19070]
3638,Harrison Cady,[8808]
3639,Harrison Edward Livingstone,[4418]
3640,Harrison Hayford,"[7849, 15611, 41760]"
3641,Harry   Bates,[33718]
3642,Harry Bliss,[21315]
3643,Harry Crews,"[24850, 24853, 28316]"
3644,Harry Ford,[29936]
3645,Harry G. Frankfurt,"[385, 3493]"
3646,Harry Graham,[5918]
3647,Harry Hamernik,[43564]
3648,Harry Hansen,[31624]
3649,Harry Harrison,"[21624, 34523]"
3650,Harry Levin,"[11006, 44830]"
3651,Harry Pearson,[4263]
3652,Harry Ritchie,[4263]
3653,Harry Rowohlt,"[16093, 16094, 16101, 28075]"
3654,Harry Turtledove,"[20932, 20935, 29516, 40281]"
3655,Harry Zohn,"[2725, 24603]"
3656,Hartford Courant,[38338]
3657,Hartmut Schickert,[19792]
3658,Haruki Murakami,"[4929, 4931, 9556, 9557, 9832, 9833, 9987, 10134, 10143, 10144, 11273, 11275, 11297, 11298, 11300, 17799, 17800, 17801, 17803, 17804, 17818, 33263, 35206, 43594, 45296, 45299, 45310, 45312, 45313, 45314, 45316, 45319, 45320, 46221, 46223]"
3659,Haruko Iida,[9699]
3660,Haruko Taya Cook,[31040]
3661,Harvey Kidder,[19768]
3662,Harvey Mansfield,"[5678, 16621]"
3663,Harvey P. Mandel,[19156]
3664,Harvey Pekar,"[16141, 43554, 43556, 43559, 43562]"
3665,Harville Hendrix,[46188]
3666,Hassabo,[5497]
3667,Haven Kimmel,"[15167, 15168, 15170, 15171, 15173, 15174]"
3668,Hayao Miyazaki,"[6297, 23720, 23721, 23722, 23724, 23728, 23730, 23734, 23735, 23739, 23740, 23741, 34426, 34427]"
3669,Hayden Carruth,[39690]
3670,Hayes,[40456]
3671,Hayward Morse,"[21739, 21752]"
3672,Hayy Moore,"[45052, 45054]"
3673,Hazel E. Barnes,[10033]
3674,Hazel Rowley,[30518]
3675,Heather  Wood,[25033]
3676,Heather Cahoon,[21342]
3677,Heather Graham,[33672]
3678,Heather Harpham Kopp,[3635]
3679,Heather Havrilesky,[22265]
3680,Heather Henson,[8254]
3681,Heather James,[47162]
3682,Heather Jarman,[40277]
3683,Heather O'Neill,[22207]
3684,Heather Rose Jones,[10500]
3685,Hee,"[29498, 29500]"
3686,Heidi Baker,"[91, 96]"
3687,Heidi Betts,"[19942, 19943, 19945, 19949]"
3688,Heidi Boyd,"[90, 100]"
3689,Heidi Fleiss,[99]
3690,Heidi Hayes Jacobs,"[89, 92, 94, 19958]"
3691,Heidi Julavits,[46230]
3692,Heidi Kilgras,[42444]
3693,Heidi Murkoff,"[98, 98, 6935, 19903]"
3694,Heike Schwarzbauer,[27719]
3695,Heinrich Wellmann,[44521]
3696,Helen  Cooper,[2705]
3697,Helen Byatt,[46987]
3698,Helen Craig,[9186]
3699,Helen Ericson,[3743]
3700,Helen Fielding,"[4486, 4487, 4488, 4503, 35842, 44270]"
3701,Helen Fisher,[10165]
3702,Helen Keier,[35407]
3703,Helen L. Taylor,"[29811, 29820]"
3704,Helen Lane,[11707]
3705,Helen Lane Cumberford,[281]
3706,Helen Marx,[32833]
3707,Helen McCarthy,"[18297, 18981]"
3708,Helen Oxenbury,"[24218, 24221]"
3709,Helen Sewell,[37024]
3710,Helen Small,[31250]
3711,Helen Vendler,"[19193, 32522]"
3712,Helen Ward,[28873]
3713,Helena Grice,[15058]
3714,Helena Ragg,[28200]
3715,Helene P. Foley,[1521]
3716,Helmut Ritter,[46387]
3717,Heloisa Maria Leal,[22751]
3718,Hemant Mehta,[40989]
3719,Henepola Gunaratana,[11000]
